run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-6-20201009-16:34:52-5840,itervar,,,timeslot,1.5ms,,,,,,,
General-6-20201009-16:34:52-5840,itervar,,,userLambda,2000,,,,,,,
General-6-20201009-16:34:52-5840,itervar,,,warmUp,5000ms,,,,,,,
General-6-20201009-16:34:52-5840,param,,,**.NUM_USER,200,,,,,,,
General-6-20201009-16:34:52-5840,param,,,**.TIMESLOT,1.5ms,,,,,,,
General-6-20201009-16:34:52-5840,param,,,**.WARMUP,5000ms,,,,,,,
General-6-20201009-16:34:52-5840,param,,,**.packetGenerator.senders[*].lambda,2000,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,configname,General,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,datetime,20201009-16:36:57,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,experiment,General,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=1.5ms, $userLambda=100",,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=200,timeslot=1.5ms,userLambda=100-",,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=1.5ms, $userLambda=100",,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,network,FairNetwork,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,processid,3708,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,repetition,0,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,replication,#0,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,resultdir,results,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,runnumber,7,,,,,,,
General-7-20201009-16:36:57-3708,runattr,,,seedset,0,,,,,,,
General-7-20201009-16:36:57-3708,itervar,,,nUser,200,,,,,,,
General-7-20201009-16:36:57-3708,itervar,,,simulationTime,100s,,,,,,,
General-7-20201009-16:36:57-3708,itervar,,,timeslot,1.5ms,,,,,,,
General-7-20201009-16:36:57-3708,itervar,,,userLambda,100,,,,,,,
General-7-20201009-16:36:57-3708,itervar,,,warmUp,5000ms,,,,,,,
General-7-20201009-16:36:57-3708,param,,,**.NUM_USER,200,,,,,,,
General-7-20201009-16:36:57-3708,param,,,**.TIMESLOT,1.5ms,,,,,,,
General-7-20201009-16:36:57-3708,param,,,**.WARMUP,5000ms,,,,,,,
General-7-20201009-16:36:57-3708,param,,,**.packetGenerator.senders[*].lambda,100,,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.antenna,packetQueueStat:stats,,,,190001,,0,0,0,0
General-1-20201009-16:28:26-15040,attr,FairNetwork.antenna,packetQueueStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.antenna,packetQueueStat:stats,source,packetQueue,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.antenna,packetQueueStat:stats,title,"Packet In Queue, stats",,,,,,,
