run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[4],packetDelayStat:stats,,,,1966,,3.9355346551718,5.2279729924583,0.000214784614,28.806308389134,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[5],userThroughputStat:stats,,,,1111,,37.236723672367,106.80000092037,0,1007.7777777778,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[5],packetBytesStat:stats,,,,1954,,38.109518935517,21.671647341362,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[5],packetDelayStat:stats,,,,1954,,9.0207316958255,10.45589864398,0.00165643129,47.849536794318,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[5],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[6],userThroughputStat:stats,,,,1111,,37.538253825383,150.69297763174,0,1060.5555555556,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],userThroughputStat:stats,source,userThroughput,,,,,,,,,
